zip,city,state
36269,Muscadine,AL
13780,Guilford,NY
21130,Perryman,MD
55959,Minnesota City,MN
58647,New England,ND
21874,Willards,MD
29403,Charleston,SC
69361,Scottsbluff,NE
3227,Center Sandwich,NH
72329,Driver,AR
41622,Eastern,KY
12762,Mongaup Valley,NY
62882,Sandoval,IL
9605,Apo,AE
17821,Danville,PA
78063,Pipe Creek,TX
56014,Bricelyn,MN
21528,Eckhart Mines,MD
48635,Lupton,MI
66547,Wamego,KS
85127,Chandler Heights,AZ
42724,Cecilia,KY
55784,Swan River,MN
83876,Worley,ID
18813,Brooklyn,PA
60422,Flossmoor,IL
60021,Fox River Grove,IL
50039,Bouton,IA
21793,Walkersville,MD
67631,Collyer,KS
47353,Liberty,IN
3443,Chesterfield,NH
44082,Pierpont,OH
11374,Rego Park,NY
99637,Toksook Bay,AK
27860,Pantego,NC
34285,Venice,FL
21085,Joppa,MD
38961,Tillatoba,MS
96669,Fpo,HI
28716,Canton,NC
72434,Imboden,AR
22082,Merrifield,VA
96063,Mineral,CA
24216,Appalachia,VA
23119,Moon,VA
74066,Sapulpa,OK
64722,Amoret,MO
94558,Napa,CA
59824,Charlo,MT
9622,Fpo,AE
15756,Mc Intyre,PA
52752,Grandview,IA
32922,Cocoa,FL
45713,Bartlett,OH
92321,Cedar Glen,CA
68831,Dannebrog,NE
84317,Huntsville,UT
7828,Budd Lake,NJ
20653,Lexington Park,MD
28038,Earl,NC
31193,Atlanta,GA
51020,Galva,IA
55374,Rogers,MN
49463,Sylvan Beach,MI
64856,Pineville,MO
30504,Gainesville,GA
31204,Macon,GA
65334,Hughesville,MO
6256,North Windham,CT
18448,Olyphant,PA
51036,Maurice,IA
38950,Philipp,MS
60448,Mokena,IL
58030,Fairmount,ND
91978,Spring Valley,CA
46123,Avon,IN
22733,Rapidan,VA
58570,Solen,ND
98284,Sedro Woolley,WA
87047,Sandia Park,NM
73764,Omega,OK
49073,Nashville,MI
6104,Hartford,CT
98548,Hoodsport,WA
38076,Williston,TN
72421,Cash,AR
79226,Clarendon,TX
28728,Enka,NC
15019,Bulger,PA
49302,Alto,MI
31076,Reynolds,GA
93628,Hume,CA
76885,Valley Spring,TX
92514,Riverside,CA
28373,Pinebluff,NC
38920,Cascilla,MS
5764,Poultney,VT
71038,Haynesville,LA
95426,Cobb,CA
14812,Beaver Dams,NY
7509,Paterson,NJ
96814,Honolulu,HI
13468,Springfield Center,NY
89085,North Las Vegas,NV
89419,Lovelock,NV
49765,Onaway,MI
58377,Starkweather,ND
13360,Inlet,NY
33092,Homestead,FL
35441,Akron,AL
95685,Sutter Creek,CA
54426,Edgar,WI
43113,Circleville,OH
18332,Henryville,PA
33523,Dade City,FL
54980,Waukau,WI
73848,Laverne,OK
67648,Lucas,KS
7644,Lodi,NJ
92382,Running Springs,CA
72715,Bella Vista,AR
4734,Blaine,ME
16438,Union City,PA
42539,Liberty,KY
29446,Green Pond,SC
24739,Princeton,WV
78122,Leesville,TX
79239,Lakeview,TX
3780,Pike,NH
42262,Oak Grove,KY
43008,Buckeye Lake,OH
55075,South Saint Paul,MN
61434,Galva,IL
